id,sentence,label,split,label_source
cls_0058,"As a result, from time to time the Company's services have not performed as anticipated and may not meet customer expectations.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0059,"The introduction of new and complex technologies, such as artificial intelligence features, can increase these and other safety risks, including exposing users to harmful, inaccurate or other negative content and experiences.",risk_factor,train,keyword_heuristic_for_teaching
cls_0060,"The Company may not be able to detect and fix all issues and defects in the hardware, software and services it offers, which can result in widespread technical and performance issues affecting the Company's products and services.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0061,"The Company is exposed to the risk of write-downs on the value of its inventory and other assets, in addition to purchase commitment cancellation risk.",risk_factor,test,keyword_heuristic_for_teaching
cls_0062,The Company's products and services include technology or intellectual property that must be licensed from third parties.,revenue_sales,validation,keyword_heuristic_for_teaching
cls_0063,The Company believes decisions by customers to purchase its hardware products depend in part on the availability of third-party software applications and services.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0064,Third-party developers may discontinue the development and maintenance of software applications and services for the Company's products.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0065,"This analysis may be based on factors such as the market position of the Company and its products, the anticipated revenue that may be generated, expected future growth of product sales, and the costs of developing such applications and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0066,"This includes the right to sell, or offer subscriptions to, third-party content, as well as the right to incorporate specific content into the Company's own services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0067,"Some third-party content providers and distributors currently or in the future may offer competing products and services, and can take actions to make it difficult or impossible for the Company to license or otherwise distribute their content.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0068,"The Company distributes its products and certain of its services through cellular network carriers and other resellers, many of which distribute products and services from competitors.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0069,"Such failures or disruptions can adversely impact the Company's business by, among other things, preventing access to the Company's online services, interfering with customer transactions or impeding the manufacturing and shipping of the Company's products.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0070,"While the Company maintains insurance coverage that is intended to address certain aspects of data security risks, such insurance coverage may be insufficient to cover all losses or all types of claims that may arise.",risk_factor,test,keyword_heuristic_for_teaching
cls_0071,"Legal and Regulatory Compliance Risks The Company's business, results of operations and financial condition could be adversely impacted by unfavorable results of legal proceedings or government investigations.",legal_regulatory,test,keyword_heuristic_for_teaching
cls_0072,"These risks, and the risks of novel claims being attempted, may be exacerbated as new and emerging technologies, including machine learning and artificial intelligence, are further integrated into the Company's products and services.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0073,"Such agreements can also significantly reduce the Company's revenue and increase the Company's cost of sales and operating expenses, materially adversely affecting the Company's business, results of operations, financial condition and stock price.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0074,"Additionally, such agreements may require the Company to change its business practices and limit the Company's ability to offer certain products and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0075,"Further, such an outcome can result in significant monetary damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief against the Company.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0076,"While the changes introduced by the Company in the EU are intended to reduce new privacy and security risks that the DMA poses to EU users, many risks will remain.",risk_factor,train,keyword_heuristic_for_teaching
cls_0077,"If implemented, these remedies could materially adversely affect the Company's ability to earn revenue from such licensing arrangements.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0078,"The risks of inadvertent disclosure of personal data can increase with the introduction of new and complex technologies, such as artificial intelligence features, further exacerbating such risks.",risk_factor,train,keyword_heuristic_for_teaching
cls_0079,Financial Risks The Company's net sales and gross margins are subject to volatility and downward pressure due to a variety of factors.,risk_factor,train,keyword_heuristic_for_teaching
cls_0080,"The Company's gross margins vary significantly across its products, services, geographic segments and distribution channels and can change over time.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0081,"Further, the Company generates a significant portion of its net sales from a single product category and a decline in demand for that product could significantly impact net sales and gross margins.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0082,The Company's financial performance is subject to risks associated with changes in the value of the U.S. dollar relative to local currencies.,risk_factor,validation,keyword_heuristic_for_teaching
cls_0083,"Additionally, strengthening of foreign currencies may increase the Company's cost of product components denominated in those currencies, thus adversely affecting gross margins.",margin_cost,train,keyword_heuristic_for_teaching
cls_0084,The Company is exposed to credit risk and fluctuations in the values of its investment portfolio.,risk_factor,train,keyword_heuristic_for_teaching
cls_0085,"The Company's investments can be negatively affected by changes in liquidity, credit deterioration, financial results, market and economic conditions, political risk, sovereign risk, interest rate fluctuations or other factors.",risk_factor,train,keyword_heuristic_for_teaching
cls_0086,"As a result, the value and liquidity of the Company's cash, cash equivalents and marketable securities may fluctuate substantially.",cash_capital,train,keyword_heuristic_for_teaching
cls_0087,"The Company is exposed to credit risk on its trade accounts receivable, vendor non-trade receivables and prepayments related to long-term supply agreements, and this risk is heightened during periods when economic conditions worsen.",risk_factor,train,keyword_heuristic_for_teaching
cls_0088,The Company distributes its products and certain of its services through third-party cellular network carriers and other resellers.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0089,"The Company also sells its products and services directly to small and mid-sized businesses and education, enterprise and government customers.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0090,The Company's exposure to credit and collectibility risk on its trade receivables is higher in certain international markets.,risk_factor,test,keyword_heuristic_for_teaching
cls_0091,"In addition, the Company has made prepayments associated with long-term supply agreements to secure supply of inventory components.",operations_supply,test,keyword_heuristic_for_teaching
cls_0092,Internal Revenue Service and other tax authorities and governmental bodies.,revenue_sales,validation,keyword_heuristic_for_teaching
cls_0093,"The Company also believes the price of its stock should reflect expectations that its cash dividend will continue at current levels or grow, and that its current share repurchase program will be fully consummated.",cash_capital,train,keyword_heuristic_for_teaching
cls_0094,"Cybersecurity The Company's management, led by its Head of Corporate Information Security, has overall responsibility for identifying, assessing and managing any material risks from cybersecurity threats.",risk_factor,train,keyword_heuristic_for_teaching
cls_0095,A dedicated Supplier Trust team manages information security risks the Company is exposed to through its supplier relationships.,risk_factor,train,keyword_heuristic_for_teaching
cls_0096,"The Company's enterprise risk management program is designed to identify, asse ss, and monitor the Company's business risks, including financial, operational, compliance and reputational risks, and reflects management's assessment of cybersecurity risks.",risk_factor,train,keyword_heuristic_for_teaching
cls_0097,"If the Commission makes a final determination in the Article 6(4) Investigation that there has been a violation, it can issue a cease and desist order and may impose fines up to 10% of the Company's annual worldwide net sales.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0098,The weakness in foreign currencies relative to the U.S. dollar had an unfavorable year-over-year impact on Americas net sales during 2025.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0099,"Europe Europe net sales increased during 2025 compared to 2024 primarily due to higher net sales of Services, iPhone and Mac.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0100,"Greater China Greater China net sales decreased during 2025 compared to 2024 primarily due to lower net sales of iPhone, partially offset by higher net sales of Mac.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0101,"Japan Japan net sales increased during 2025 compared to 2024 primarily due to higher net sales of iPhone, Services and iPad.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0102,"Rest of Asia Pacific Rest of Asia Pacific net sales increased during 2025 compared to 2024 primarily due to higher net sales of iPhone, Services and Mac.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0103,"Wearables, Home and Accessories Wearables, Home and Accessories net sales decreased during 2025 compared to 2024 primarily due to lower net sales of Accessories and Wearables.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0104,"Services Services net sales increased during 2025 compared to 2024 primarily due to higher net sales from advertising, the App Store and cloud services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0105,"Products gross margin percentage decreased during 2025 compared to 2024 primarily due to a different mix of products and tariff costs, partially offset by other favorable costs.",margin_cost,train,keyword_heuristic_for_teaching
cls_0106,Services Gross Margin Services gross margin increased during 2025 compared to 2024 primarily due to higher Services net sales and a different mix of services.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0107,"Services gross margin percentage increased during 2025 compared to 2024 primarily due to a different mix of services, partially offset by higher costs.",margin_cost,train,keyword_heuristic_for_teaching
cls_0108,"As of September 27, 2025, the Company's quarterly cash dividend was $0.26 per share.",cash_capital,train,keyword_heuristic_for_teaching
cls_0109,Quantitative and Qualitative Disclosures About Market Risk The Company is exposed to economic risk from interest rates and foreign exchange rates.,risk_factor,train,keyword_heuristic_for_teaching
cls_0110,"The Company uses various strategies to manage these risks; however, they may still impact the Company's consolidated financial statements.",risk_factor,test,keyword_heuristic_for_teaching
cls_0111,Interest Rate Risk The Company is primarily exposed to fluctuations in U.S. interest rates and their impact on the Company's investment portfolio and term debt.,risk_factor,test,keyword_heuristic_for_teaching
cls_0112,"To protect against interest rate risk, the Company may use derivative instruments, offset interest rate–sensitive assets and liabilities, or control duration of the investment and term debt portfolios.",risk_factor,validation,keyword_heuristic_for_teaching
cls_0113,"Changes in exchange rates, and in particular a strengthening of the U.S. dollar, will negatively affect the Company's net sales and gross margins as expressed in U.S. dollars.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0114,"To protect against foreign exchange rate risk, the Company may use derivative instruments, offset exposures, or adjust local currency pricing of its products and services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0115,"The Company applied a value-at-risk (""VAR"") model to its foreign currency derivative positions to assess the potential impact of fluctuations in exchange rates.",risk_factor,train,keyword_heuristic_for_teaching
cls_0116,Revenue The Company records revenue net of taxes collected from customers that are remitted to governmental authorities.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0117,Cash Equivalents All highly liquid investments with maturities of three months or less at the date of purchase are treated as cash equivalents.,cash_capital,train,keyword_heuristic_for_teaching
cls_0118,Note 2 – Revenue The Company recognizes revenue at the amount to which it expects to be entitled when control of products or services is transferred to its customers.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0119,Control is generally transferred when the Company has a present right to payment and title and the significant risks and rewards of ownership of products or services are transferred to its customers.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0120,"For most of the Company's Products net sales, control transfers when products are shipped.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0121,"For the Company's Services net sales, control transfers over time as services are delivered.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0122,"Payment for Products and Services net sales is collected within a short period following transfer of control or commencement of delivery of services, as applicable.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0123,"The Company records reductions to Products net sales related to future product returns, price protection and other customer incentive programs based on the Company's expectations and historical experience.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0124,"For arrangements with multiple performance obligations, which represent promises within an arrangement that are distinct, the Company allocates revenue to all distinct performance obligations based on their relative stand-alone selling prices (""SSPs"").",revenue_sales,train,keyword_heuristic_for_teaching
cls_0125,"The Company has identified the performance obligations regularly included in arrangements involving the sale of iPhone, Mac and iPad.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0126,"The second material performance obligation is the right to receive certain product-related bundled services, which include iCloud , Siri and Maps.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0127,The Company allocates revenue and any related discounts to all of its performance obligations based on their relative SSPs.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0128,"Because the Company lacks observable prices for product-related bundled services, the allocation of revenue is based on the Company's estimated SSPs.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0129,"Revenue allocated to the delivered hardware and bundled software is recognized when control has transferred to the customer, which generally occurs when the product is shipped.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0130,Revenue allocated to product-related bundled services is deferred and recognized on a straight-line basis over the estimated period they are expected to be provided.,revenue_sales,test,keyword_heuristic_for_teaching
cls_0131,"For certain long-term service arrangements, the Company has performance obligations for services it has not yet delivered.",revenue_sales,test,keyword_heuristic_for_teaching
cls_0132,"For these arrangements, the Company does not have a right to bill for the undelivered services.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0133,The Company has determined that any unbilled consideration relates entirely to the value of the undelivered services.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0134,"Accordingly, the Company has not recognized revenue, and does not disclose amounts, related to these undelivered services.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0135,"For the sale of third-party products where the Company obtains control of the product before transferring it to the customer, the Company recognizes revenue based on the gross amount billed to customers.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0136,"Therefore, the Company accounts for all third-party application–related sales on a net basis by recognizing in Services net sales only the commission it retains.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0137,"As of September 27, 2025 and September 28, 2024, the Company had total deferred revenue of $ 13.7 billion and $ 12.8 billion, respectively.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0138,"As of September 27, 2025, the Company expects 66 % of total deferred revenue to be realized in less than a year, 23 % within one-to-two years, 9 % within two-to-three years and 2 % in greater than three years.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0139,Derivative Instruments and Hedging The Company may use derivative instruments to partially offset its business exposure to foreign exchange and interest rate risk.,risk_factor,train,keyword_heuristic_for_teaching
cls_0140,"The Company classifies cash flows related to derivative instruments in the same section of the Consolidated Statements of Cash Flows as the items being hedged, which are generally classified as operating activities.",cash_capital,test,keyword_heuristic_for_teaching
cls_0141,"Foreign Exchange Rate Risk To protect gross margins from fluctuations in foreign exchange rates, the Company may use forwards, options or other instruments, and may designate these instruments as cash flow hedges.",risk_factor,test,keyword_heuristic_for_teaching
cls_0142,"The Company generally hedges portions of its forecasted foreign currency exposure associated with revenue and inventory purchases, typically for up to 12 months.",revenue_sales,validation,keyword_heuristic_for_teaching
cls_0143,The Company designates these instruments as either cash flow or fair value hedges.,cash_capital,train,keyword_heuristic_for_teaching
cls_0144,"As of September 27, 2025, the maximum length of time over which the Company is hedging its exposure to the variability in future cash flows for term debt–related foreign currency transactions is 17 years.",cash_capital,train,keyword_heuristic_for_teaching
cls_0145,"Interest Rate Risk To protect the Company's term debt or marketable securities from fluctuations in interest rates, the Company may use interest rate swaps, options or other instruments.",risk_factor,train,keyword_heuristic_for_teaching
cls_0146,The Company designates these instruments as either cash flow or fair value hedges.,cash_capital,train,keyword_heuristic_for_teaching
cls_0147,The Company requires third-party credit support or collateral from certain customers to limit credit risk.,risk_factor,train,keyword_heuristic_for_teaching
cls_0148,The Company does not reflect the sale of these components in products net sales.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0149,The Company made fixed cash payments related to operating leases of $ 2.1 billion in 2025 and $ 1.9 billion in both 2024 and 2023.,cash_capital,train,keyword_heuristic_for_teaching
cls_0150,"Noncash activities involving right-of-use (""ROU"") assets obtained in exchange for lease liabilities were $ 2.8 billion, $ 1.0 billion and $ 2.1 billion for 2025, 2024 and 2023, respectively.",other_disclosure,test,keyword_heuristic_for_teaching
cls_0151,"Additionally, to manage foreign exchange rate risk on certain of its foreign currency–denominated notes, the Company uses cross-currency swaps to effectively convert these notes to U.S. dollar–denominated notes.",risk_factor,test,keyword_heuristic_for_teaching
cls_0152,"Concentrations in the Available Sources of Supply of Materials and Product Although most components essential to the Company's business are generally available from multiple sources, certain components are currently obtained from single or limited sources.",operations_supply,validation,keyword_heuristic_for_teaching
cls_0153,"The CODM uses segment net sales and operating income information to make certain decisions, such as product and service pricing, and to decide how to allocate resources related to sales activities and marketing investments.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0154,Net sales for geographic segments are generally based on the location of customers and sales through the Company's retail stores located in those geographic locations.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0155,"Operating income for each segment consists of net sales to third parties, related cost of sales, and operating expenses directly attributable to the segment.",margin_cost,train,keyword_heuristic_for_teaching
cls_0156,"Our audits included performing procedures to assess the risks of material misstatement of the financial statements, whether due to error or fraud, and performing procedures that respond to those risks.",risk_factor,train,keyword_heuristic_for_teaching
cls_0157,"Principal Accountant Fees and Services The information required by this Item will be included in the 2026 Proxy Statement, and is incorporated herein by reference.",revenue_sales,train,keyword_heuristic_for_teaching
cls_0158,Internal Revenue Service or a change in law to that effect.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0159,Mexico Apple Pty Limited Australia Apple Services Pte.,revenue_sales,train,keyword_heuristic_for_teaching
cls_0160,"Includes, but is not limited to, cost for computer software product to be sold, leased, or otherwise marketed and writeoff of research and development assets acquired in transaction other than business combination or joint venture formation or both.",margin_cost,test,keyword_heuristic_for_teaching
